 public | osusr_524__mldelinquen_lzh_cn  | foreign table | postgres
 public | osusr_524__mldmdecisio         | foreign table | postgres
 public | osusr_524__mldmreason          | foreign table | postgres
 public | osusr_524__mldmreason_lda_dk   | foreign table | postgres
 public | osusr_524__mldmreason_lde_de   | foreign table | postgres
 public | osusr_524__mldmreason_len_gb   | foreign table | postgres
 public | osusr_524__mldmreason_les      | foreign table | postgres
 public | osusr_524__mldmreason_lfi_fi   | foreign table | postgres
 public | osusr_524__mldmreason_lfr      | foreign table | postgres
 public | osusr_524__mldmreason_lka_ge   | foreign table | postgres
 public | osusr_524__mldmreason_lnb_no   | foreign table | postgres
 public | osusr_524__mldmreason_lpl_pl   | foreign table | postgres
 public | osusr_524__mldmreason_lro_ro   | foreign table | postgres
 public | osusr_524__mldmreason_lru_ru   | foreign table | postgres
 public | osusr_524__mldmreason_lsv_fi   | foreign table | postgres
 public | osusr_524__mldmreason_lsv_se   | foreign table | postgres
 public | osusr_524__mldmreason_lzh_cn   | foreign table | postgres
 public | osusr_524__mlexistingp         | foreign table | postgres
 public | osusr_524__mlexistingp_lda_dk  | foreign table | postgres
 public | osusr_524__mlexistingp_lde_de  | foreign table | postgres
 public | osusr_524__mlexistingp_len_gb  | foreign table | postgres
 public | osusr_524__mlexistingp_les     | foreign table | postgres
 public | osusr_524__mlexistingp_lfi_fi  | foreign table | postgres
 public | osusr_524__mlexistingp_lfr     | foreign table | postgres
 public | osusr_524__mlexistingp_lka_ge  | foreign table | postgres
 public | osusr_524__mlexistingp_lnb_no  | foreign table | postgres
 public | osusr_524__mlexistingp_lpl_pl  | foreign table | postgres
